location,age_group_id,mean
BFA,17,0.292
BFA,18,0.274
BFA,19,0.262
BFA,20,0.232
BFA,21,0.186
BGD,34,0.033
BGD,36,0.045
BGD,6,0.037
BGD,7,0.061
BGD,8,0.049
BGD,9,0.134
BGD,38,0.169
BGD,10,0.142
BGD,11,0.185
BGD,12,0.208
BGD,13,0.213
BGD,14,0.201
BGD,15,0.201
BGD,16,0.188
BGD,17,0.162
BGD,18,0.131
BGD,19,0.108
BGD,20,0.082
BGD,21,0.099
BGR,34,0.303
BGR,36,0.262
BGR,6,0.284
BGR,7,0.266
BGR,8,0.198
BGR,9,0.242
BGR,38,0.543
BGR,10,0.361
BGR,11,0.488
BGR,12,0.529
BGR,13,0.578
BGR,14,0.624
BGR,15,0.66
BGR,16,0.697
BGR,17,0.718
BGR,18,0.736
BGR,19,0.695
BGR,20,0.684
BGR,21,0.633
BHR,34,0.133
BHR,36,0.245
BHR,6,0.125
BHR,7,0.352
BHR,8,0.362
BHR,9,0.439
BHR,38,0.711
BHR,10,0.555
BHR,11,0.665
BHR,12,0.731
BHR,13,0.775
BHR,14,0.807
BHR,15,0.796
BHR,16,0.81
BHR,17,0.867
BHR,18,0.854
BHR,19,0.835
BHR,20,0.774
BHR,21,0.742
BHS,34,0.263
BHS,36,0.261
BHS,6,0.269
BHS,7,0.286
BHS,8,0.224
BHS,9,0.345
BHS,38,0.576
BHS,10,0.449
BHS,11,0.523
BHS,12,0.575
BHS,13,0.618
BHS,14,0.645
BHS,15,0.683
BHS,16,0.699
BHS,17,0.703
BHS,18,0.684
BHS,19,0.675
BHS,20,0.647
BHS,21,0.601
BIH,34,0.314
BIH,36,0.199
BIH,6,0.29
BIH,7,0.135
BIH,8,0.065
BIH,9,0.228
BIH,38,0.546
BIH,10,0.341
BIH,11,0.438
BIH,12,0.528
BIH,13,0.621
BIH,14,0.651
BIH,15,0.708
BIH,16,0.724
BIH,17,0.75
BIH,18,0.747
BIH,19,0.653
BIH,20,0.556
BIH,21,0.727
BLR,34,0.176
BLR,36,0.164
BLR,6,0.169
BLR,7,0.178
BLR,8,0.133
BLR,9,0.221
BLR,38,0.447
BLR,10,0.313
BLR,11,0.381
BLR,12,0.433
BLR,13,0.48
BLR,14,0.513
BLR,15,0.556
BLR,16,0.579
BLR,17,0.59
BLR,18,0.577
BLR,19,0.567
BLR,20,0.536
BLR,21,0.467
BLZ,34,0.154
BLZ,36,0.227
BLZ,6,0.182
BLZ,7,0.25
BLZ,8,0.317
BLZ,9,0.471
BLZ,38,0.671
BLZ,10,0.606
BLZ,11,0.701
BLZ,12,0.763
BLZ,13,0.701
BLZ,14,0.729
BLZ,15,0.775
BLZ,16,0.802
BLZ,17,0.804
BLZ,18,0.616
BLZ,19,0.588
BLZ,20,0.554
BLZ,21,0.502
BOL,34,0.24
BOL,36,0.243
BOL,6,0.246
BOL,7,0.272
BOL,8,0.212
BOL,9,0.329
BOL,38,0.572
BOL,10,0.44
BOL,11,0.537
BOL,12,0.593
BOL,13,0.627
BOL,14,0.646
BOL,15,0.665
BOL,16,0.683
BOL,17,0.689
BOL,18,0.676
BOL,19,0.666
BOL,20,0.636
BOL,21,0.576
BRA,34,0.237
BRA,36,0.232
BRA,6,0.241
BRA,7,0.236
BRA,8,0.214
BRA,9,0.347
BRA,38,0.557
BRA,10,0.431
BRA,11,0.503
BRA,12,0.544
BRA,13,0.597
BRA,14,0.622
BRA,15,0.659
BRA,16,0.673
BRA,17,0.682
